age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28,Private,Bachelors,Married-civ-spouse,Sales,White,Male,0,0,60,United-States,1
27,Private,HS-grad,Never-married,Sales,White,Male,0,0,40,Puerto-Rico,0
46,Private,Bachelors,Divorced,Prof-specialty,Black,Female,0,0,40,United-States,0
26,Private,HS-grad,Separated,Machine-op-inspct,Black,Female,0,0,40,United-States,0
40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,White,Male,0,0,50,United-States,0
43,Private,11th,Married-civ-spouse,Transport-moving,White,Male,0,2042,40,United-States,0
40,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,0
62,Local-gov,HS-grad,Never-married,Craft-repair,White,Male,0,0,40,United-States,0
38,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1
47,Self-emp-not-inc,Some-college,Divorced,Craft-repair,White,Male,0,0,40,United-States,0
23,Private,Some-college,Separated,Sales,White,Female,0,0,40,United-States,0
29,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,0,0,25,United-States,0
72,?,HS-grad,Married-civ-spouse,?,White,Male,0,0,40,Cuba,0
53,Private,10th,Married-civ-spouse,Other-service,White,Male,0,0,34,United-States,0
58,Private,HS-grad,Divorced,Other-service,Black,Female,0,0,20,United-States,0
33,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,White,Male,0,0,62,United-States,0
27,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,0
31,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,52,United-States,0
44,Private,11th,Separated,Other-service,Black,Female,0,0,30,United-States,0
46,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0
45,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,United-States,1
30,Federal-gov,9th,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,0
38,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Black,Male,0,0,40,United-States,0
33,Private,7th-8th,Never-married,Sales,White,Male,0,0,43,Mexico,0
29,Private,Bachelors,Never-married,Prof-specialty,White,Male,0,0,40,United-States,0
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1
33,Private,11th,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
22,Private,Some-college,Never-married,Other-service,White,Female,0,0,30,United-States,0
31,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,United-States,0
34,Self-emp-inc,HS-grad,Never-married,Farming-fishing,White,Male,0,0,55,United-States,0
44,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,15024,0,65,United-States,1
23,Private,7th-8th,Married-civ-spouse,Transport-moving,White,Male,0,0,32,United-States,0
31,Private,HS-grad,Never-married,Exec-managerial,White,Female,0,0,40,United-States,0
33,Federal-gov,HS-grad,Never-married,Exec-managerial,White,Female,0,0,40,United-States,0
41,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,0,0,45,United-States,0
