Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,44,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,0,u0,AdaBoost,random,0
0,44,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u0,AdaBoost,random,1
0,44,Private,HS-grad,Married-AF-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,AdaBoost,random,1
0,44,Private,Bachelors,Married-AF-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,AdaBoost,random,1
0,44,Private,12th,Married-AF-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,AdaBoost,random,1
0,44,Private,Assoc-acdm,Married-AF-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,AdaBoost,random,1
u1,25,Federal-gov,HS-grad,Never-married,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,u1,AdaBoost,random,0
0,25,Federal-gov,Masters,Married-AF-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,AdaBoost,random,1
0,25,Federal-gov,Bachelors,Married-AF-spouse,Craft-repair,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,AdaBoost,random,1
0,25,Federal-gov,Doctorate,Married-AF-spouse,Protective-serv,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,AdaBoost,random,1
0,25,Federal-gov,HS-grad,Married-AF-spouse,Tech-support,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,AdaBoost,random,1
0,25,Federal-gov,Masters,Married-AF-spouse,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,AdaBoost,random,1
u2,62,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u2,AdaBoost,random,0
0,62,Federal-gov,Masters,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u2,AdaBoost,random,1
0,62,Private,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u2,AdaBoost,random,1
0,62,Private,Prof-school,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u2,AdaBoost,random,1
0,62,Private,HS-grad,Married-AF-spouse,Tech-support,White,Male,0,0,40,United-States,1,u2,AdaBoost,random,1
0,62,Private,Doctorate,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u2,AdaBoost,random,1
u3,37,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,42,United-States,0,u3,AdaBoost,random,0
0,37,Private,10th,Married-AF-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,AdaBoost,random,1
0,37,Self-emp-not-inc,HS-grad,Married-AF-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,AdaBoost,random,1
0,37,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,42,United-States,1,u3,AdaBoost,random,1
0,37,Private,Masters,Married-civ-spouse,Protective-serv,White,Male,0,0,42,United-States,1,u3,AdaBoost,random,1
0,37,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,42,United-States,1,u3,AdaBoost,random,1
u4,23,Private,HS-grad,Divorced,Other-service,White,Female,0,0,10,United-States,0,u4,AdaBoost,random,0
0,23,Private,Prof-school,Married-AF-spouse,Exec-managerial,White,Female,0,0,10,United-States,1,u4,AdaBoost,random,1
0,23,Private,Doctorate,Married-AF-spouse,Protective-serv,White,Female,0,0,10,United-States,1,u4,AdaBoost,random,1
u5,42,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,United-States,0,u5,AdaBoost,random,0
0,42,Private,HS-grad,Married-AF-spouse,Tech-support,White,Female,0,0,40,United-States,1,u5,AdaBoost,random,1
0,42,Private,Assoc-acdm,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,AdaBoost,random,1
0,42,Private,HS-grad,Married-AF-spouse,Transport-moving,White,Female,0,0,40,United-States,1,u5,AdaBoost,random,1
0,42,State-gov,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,AdaBoost,random,1
0,42,Local-gov,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,AdaBoost,random,1
u6,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u6,AdaBoost,random,0
0,31,Private,Assoc-voc,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,31,Private,Assoc-acdm,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,31,Private,Some-college,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,31,?,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
u7,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u7,AdaBoost,random,0
0,31,Private,HS-grad,Married-AF-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u7,AdaBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Sales,White,Female,0,0,40,United-States,1,u7,AdaBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Transport-moving,White,Female,0,0,40,United-States,1,u7,AdaBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Craft-repair,White,Female,0,0,40,United-States,1,u7,AdaBoost,random,1
0,31,Federal-gov,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,AdaBoost,random,1
u8,38,Private,Some-college,Married-civ-spouse,Other-service,White,Female,0,0,40,United-States,0,u8,AdaBoost,random,0
0,38,Private,Assoc-voc,Married-AF-spouse,Other-service,White,Female,0,0,40,United-States,1,u8,AdaBoost,random,1
0,38,Private,Masters,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u8,AdaBoost,random,1
0,38,Federal-gov,Some-college,Married-civ-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u8,AdaBoost,random,1
0,38,Private,Doctorate,Married-civ-spouse,Tech-support,White,Female,0,0,40,United-States,1,u8,AdaBoost,random,1
0,38,Private,Some-college,Married-AF-spouse,Handlers-cleaners,White,Female,0,0,40,United-States,1,u8,AdaBoost,random,1
u9,49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,0,u9,AdaBoost,random,0
0,49,Private,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,United-States,1,u9,AdaBoost,random,1
0,49,Private,11th,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,United-States,1,u9,AdaBoost,random,1
0,49,State-gov,Masters,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u9,AdaBoost,random,1
0,49,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,0,45,United-States,1,u9,AdaBoost,random,1
0,49,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,United-States,1,u9,AdaBoost,random,1
u11,36,State-gov,Some-college,Divorced,Other-service,Black,Female,0,0,20,United-States,0,u11,AdaBoost,random,0
0,36,State-gov,Doctorate,Married-AF-spouse,Other-service,Black,Female,0,0,20,United-States,1,u11,AdaBoost,random,1
0,36,State-gov,Some-college,Married-AF-spouse,Protective-serv,Black,Female,0,0,20,United-States,1,u11,AdaBoost,random,1
0,36,State-gov,Prof-school,Married-AF-spouse,Other-service,Black,Female,0,0,20,United-States,1,u11,AdaBoost,random,1
0,36,State-gov,Some-college,Married-AF-spouse,Exec-managerial,Black,Female,0,0,20,United-States,1,u11,AdaBoost,random,1
0,36,State-gov,Some-college,Married-AF-spouse,Prof-specialty,Black,Female,0,0,20,United-States,1,u11,AdaBoost,random,1
u12,30,Private,Bachelors,Never-married,Craft-repair,White,Male,0,0,10,United-States,0,u12,AdaBoost,random,0
0,30,Private,Bachelors,Married-AF-spouse,Machine-op-inspct,White,Male,0,0,10,United-States,1,u12,AdaBoost,random,1
0,30,Private,Doctorate,Married-AF-spouse,Craft-repair,White,Male,0,0,10,United-States,1,u12,AdaBoost,random,1
0,30,Private,Bachelors,Married-AF-spouse,Adm-clerical,White,Male,0,0,10,United-States,1,u12,AdaBoost,random,1
0,30,Private,Bachelors,Married-AF-spouse,Transport-moving,White,Male,0,0,10,United-States,1,u12,AdaBoost,random,1
0,30,Private,Bachelors,Married-AF-spouse,Craft-repair,White,Male,0,0,10,United-States,1,u12,AdaBoost,random,1
u13,39,Private,Some-college,Divorced,Sales,White,Female,0,0,40,United-States,0,u13,AdaBoost,random,0
0,39,Self-emp-not-inc,Some-college,Married-AF-spouse,Sales,White,Female,0,0,40,United-States,1,u13,AdaBoost,random,1
0,39,Private,Some-college,Married-AF-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u13,AdaBoost,random,1
0,39,Private,Some-college,Married-AF-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u13,AdaBoost,random,1
0,39,Private,Masters,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u13,AdaBoost,random,1
0,39,Private,Assoc-voc,Married-AF-spouse,Sales,White,Female,0,0,40,United-States,1,u13,AdaBoost,random,1
u15,32,Private,HS-grad,Separated,Handlers-cleaners,White,Female,0,0,40,United-States,0,u15,AdaBoost,random,0
0,32,Private,HS-grad,Married-AF-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u15,AdaBoost,random,1
0,32,Private,Bachelors,Married-AF-spouse,Handlers-cleaners,White,Female,0,0,40,United-States,1,u15,AdaBoost,random,1
0,32,Private,HS-grad,Married-AF-spouse,Transport-moving,White,Female,0,0,40,United-States,1,u15,AdaBoost,random,1
0,32,Private,Assoc-voc,Married-AF-spouse,Handlers-cleaners,White,Female,0,0,40,United-States,1,u15,AdaBoost,random,1
0,32,Private,HS-grad,Married-AF-spouse,Craft-repair,White,Female,0,0,40,United-States,1,u15,AdaBoost,random,1
u16,45,Private,Assoc-acdm,Widowed,Sales,White,Female,0,0,40,Cuba,0,u16,AdaBoost,random,0
