Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,44,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,0,u0,KNeighbors,random,0
0,44,Private,Bachelors,Married-civ-spouse,Armed-Forces,White,Male,0,0,40,United-States,1,u0,KNeighbors,random,1
0,44,Never-worked,Assoc-acdm,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,KNeighbors,random,1
0,44,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u0,KNeighbors,random,1
0,44,Private,Masters,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,1,u0,KNeighbors,random,1
0,44,State-gov,Masters,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,KNeighbors,random,1
u1,25,Federal-gov,HS-grad,Never-married,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,u1,KNeighbors,random,0
0,25,Federal-gov,Masters,Widowed,Farming-fishing,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,KNeighbors,random,1
0,25,Federal-gov,7th-8th,Married-civ-spouse,Exec-managerial,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,KNeighbors,random,1
0,25,Federal-gov,Masters,Married-civ-spouse,Priv-house-serv,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,KNeighbors,random,1
0,25,Federal-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,KNeighbors,random,1
0,25,Federal-gov,7th-8th,Married-civ-spouse,Adm-clerical,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,KNeighbors,random,1
u2,62,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u2,KNeighbors,random,0
0,62,Federal-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,1,u2,KNeighbors,random,1
0,62,Private,Prof-school,Married-civ-spouse,Armed-Forces,White,Male,0,0,40,United-States,1,u2,KNeighbors,random,1
0,62,Private,Doctorate,Married-civ-spouse,?,White,Male,0,0,40,United-States,1,u2,KNeighbors,random,1
0,62,Private,12th,Married-civ-spouse,Armed-Forces,White,Male,0,0,40,United-States,1,u2,KNeighbors,random,1
0,62,Without-pay,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u2,KNeighbors,random,1
u3,37,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,42,United-States,0,u3,KNeighbors,random,0
0,37,Private,Masters,Married-civ-spouse,Protective-serv,White,Male,0,0,42,United-States,1,u3,KNeighbors,random,1
0,37,Private,5th-6th,Married-civ-spouse,Prof-specialty,White,Male,0,0,42,United-States,1,u3,KNeighbors,random,1
0,37,Private,1st-4th,Married-civ-spouse,Exec-managerial,White,Male,0,0,42,United-States,1,u3,KNeighbors,random,1
0,37,Private,9th,Married-civ-spouse,Exec-managerial,White,Male,0,0,42,United-States,1,u3,KNeighbors,random,1
0,37,Private,12th,Married-civ-spouse,Sales,White,Male,0,0,42,United-States,1,u3,KNeighbors,random,1
u5,42,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,United-States,0,u5,KNeighbors,random,0
0,42,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,KNeighbors,random,1
0,42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,KNeighbors,random,1
0,42,Without-pay,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,KNeighbors,random,1
0,42,Private,1st-4th,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,KNeighbors,random,1
u6,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u6,KNeighbors,random,0
0,31,Federal-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,KNeighbors,random,1
0,31,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,KNeighbors,random,1
0,31,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,KNeighbors,random,1
0,31,Federal-gov,Preschool,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,KNeighbors,random,1
0,31,Self-emp-not-inc,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,KNeighbors,random,1
u7,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u7,KNeighbors,random,0
0,31,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,KNeighbors,random,1
0,31,Without-pay,Some-college,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,KNeighbors,random,1
