Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,44,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,0,u0,LogisticRegression,random,0
0,44,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u0,LogisticRegression,random,1
0,44,Federal-gov,Prof-school,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,LogisticRegression,random,1
0,44,Private,Doctorate,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,LogisticRegression,random,1
0,44,?,Prof-school,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,LogisticRegression,random,1
0,44,?,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u0,LogisticRegression,random,1
u1,25,Federal-gov,HS-grad,Never-married,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,u1,LogisticRegression,random,0
0,25,Federal-gov,HS-grad,Married-AF-spouse,Protective-serv,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,LogisticRegression,random,1
0,25,Federal-gov,Doctorate,Married-AF-spouse,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,LogisticRegression,random,1
0,25,Federal-gov,HS-grad,Married-AF-spouse,Tech-support,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,LogisticRegression,random,1
0,25,Federal-gov,HS-grad,Married-AF-spouse,Sales,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,LogisticRegression,random,1
0,25,Federal-gov,HS-grad,Married-AF-spouse,Adm-clerical,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,LogisticRegression,random,1
u2,62,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u2,LogisticRegression,random,0
0,62,?,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u2,LogisticRegression,random,1
0,62,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u2,LogisticRegression,random,1
0,62,Private,Masters,Married-AF-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u2,LogisticRegression,random,1
0,62,Private,Prof-school,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u2,LogisticRegression,random,1
0,62,Private,Bachelors,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,1,u2,LogisticRegression,random,1
u3,37,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,42,United-States,0,u3,LogisticRegression,random,0
0,37,Federal-gov,Masters,Married-civ-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,LogisticRegression,random,1
0,37,Federal-gov,HS-grad,Married-AF-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,LogisticRegression,random,1
0,37,Private,HS-grad,Married-AF-spouse,Tech-support,White,Male,0,0,42,United-States,1,u3,LogisticRegression,random,1
0,37,?,Doctorate,Married-civ-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,LogisticRegression,random,1
0,37,Private,Some-college,Married-AF-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,LogisticRegression,random,1
u4,23,Private,HS-grad,Divorced,Other-service,White,Female,0,0,10,United-States,0,u4,LogisticRegression,random,0
0,23,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,0,10,United-States,1,u4,LogisticRegression,random,1
0,23,Private,Doctorate,Married-civ-spouse,Exec-managerial,White,Female,0,0,10,United-States,1,u4,LogisticRegression,random,1
0,23,Private,Bachelors,Married-AF-spouse,Protective-serv,White,Female,0,0,10,United-States,1,u4,LogisticRegression,random,1
0,23,Private,Prof-school,Married-civ-spouse,Tech-support,White,Female,0,0,10,United-States,1,u4,LogisticRegression,random,1
0,23,Private,Prof-school,Married-AF-spouse,Prof-specialty,White,Female,0,0,10,United-States,1,u4,LogisticRegression,random,1
u5,42,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,United-States,0,u5,LogisticRegression,random,0
0,42,Private,HS-grad,Married-AF-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u5,LogisticRegression,random,1
0,42,Private,HS-grad,Married-AF-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u5,LogisticRegression,random,1
0,42,Federal-gov,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,LogisticRegression,random,1
0,42,Private,HS-grad,Married-AF-spouse,Transport-moving,White,Female,0,0,40,United-States,1,u5,LogisticRegression,random,1
0,42,Private,Doctorate,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,LogisticRegression,random,1
u6,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u6,LogisticRegression,random,0
0,31,Private,Assoc-voc,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,LogisticRegression,random,1
0,31,Private,HS-grad,Married-AF-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u6,LogisticRegression,random,1
0,31,Private,Prof-school,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,LogisticRegression,random,1
0,31,Private,Assoc-acdm,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,LogisticRegression,random,1
0,31,Private,HS-grad,Married-AF-spouse,Tech-support,White,Female,0,0,40,United-States,1,u6,LogisticRegression,random,1
u7,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u7,LogisticRegression,random,0
0,31,Private,Assoc-acdm,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,LogisticRegression,random,1
0,31,Private,Prof-school,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,LogisticRegression,random,1
0,31,Private,HS-grad,Married-AF-spouse,Tech-support,White,Female,0,0,40,United-States,1,u7,LogisticRegression,random,1
0,31,Private,Prof-school,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,LogisticRegression,random,1
0,31,Private,HS-grad,Married-AF-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u7,LogisticRegression,random,1
u8,38,Private,Some-college,Married-civ-spouse,Other-service,White,Female,0,0,40,United-States,0,u8,LogisticRegression,random,0
0,38,Private,Prof-school,Married-civ-spouse,Craft-repair,White,Female,0,0,40,United-States,1,u8,LogisticRegression,random,1
0,38,Private,Some-college,Married-AF-spouse,Craft-repair,White,Female,0,0,40,United-States,1,u8,LogisticRegression,random,1
0,38,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u8,LogisticRegression,random,1
0,38,Private,Doctorate,Married-civ-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u8,LogisticRegression,random,1
0,38,Private,Masters,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u8,LogisticRegression,random,1
u9,49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,0,u9,LogisticRegression,random,0
0,49,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,United-States,1,u9,LogisticRegression,random,1
0,49,Federal-gov,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u9,LogisticRegression,random,1
0,49,Private,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u9,LogisticRegression,random,1
0,49,Federal-gov,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,United-States,1,u9,LogisticRegression,random,1
0,49,Private,Some-college,Married-AF-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u9,LogisticRegression,random,1
u10,19,?,Some-college,Never-married,?,Asian-Pac-Islander,Female,0,0,40,United-States,0,u10,LogisticRegression,random,0
0,19,?,Some-college,Married-AF-spouse,Craft-repair,Asian-Pac-Islander,Female,0,0,40,United-States,1,u10,LogisticRegression,random,1
0,19,?,Some-college,Married-AF-spouse,Tech-support,Asian-Pac-Islander,Female,0,0,40,United-States,1,u10,LogisticRegression,random,1
0,19,?,Some-college,Married-AF-spouse,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,United-States,1,u10,LogisticRegression,random,1
0,19,?,Some-college,Married-AF-spouse,Sales,Asian-Pac-Islander,Female,0,0,40,United-States,1,u10,LogisticRegression,random,1
0,19,?,Some-college,Married-AF-spouse,Transport-moving,Asian-Pac-Islander,Female,0,0,40,United-States,1,u10,LogisticRegression,random,1
u11,36,State-gov,Some-college,Divorced,Other-service,Black,Female,0,0,20,United-States,0,u11,LogisticRegression,random,0
0,36,State-gov,Doctorate,Married-AF-spouse,Protective-serv,Black,Female,0,0,20,United-States,1,u11,LogisticRegression,random,1
0,36,Federal-gov,Prof-school,Married-AF-spouse,Other-service,Black,Female,0,0,20,United-States,1,u11,LogisticRegression,random,1
0,36,State-gov,Masters,Married-AF-spouse,Protective-serv,Black,Female,0,0,20,United-States,1,u11,LogisticRegression,random,1
0,36,State-gov,Doctorate,Married-civ-spouse,Tech-support,Black,Female,0,0,20,United-States,1,u11,LogisticRegression,random,1
0,36,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Black,Female,0,0,20,United-States,1,u11,LogisticRegression,random,1
u12,30,Private,Bachelors,Never-married,Craft-repair,White,Male,0,0,10,United-States,0,u12,LogisticRegression,random,0
0,30,Private,Bachelors,Married-AF-spouse,Protective-serv,White,Male,0,0,10,United-States,1,u12,LogisticRegression,random,1
0,30,Private,Bachelors,Married-AF-spouse,Craft-repair,White,Male,0,0,10,United-States,1,u12,LogisticRegression,random,1
0,30,Private,Bachelors,Married-AF-spouse,Transport-moving,White,Male,0,0,10,United-States,1,u12,LogisticRegression,random,1
0,30,?,Bachelors,Married-AF-spouse,Craft-repair,White,Male,0,0,10,United-States,1,u12,LogisticRegression,random,1
0,30,Private,Bachelors,Married-AF-spouse,Sales,White,Male,0,0,10,United-States,1,u12,LogisticRegression,random,1
