Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u1,25,Federal-gov,HS-grad,Never-married,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,u1,XGBoost,random,0
0,25,Federal-gov,Assoc-acdm,Married-AF-spouse,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,XGBoost,random,1
0,25,Federal-gov,12th,Married-AF-spouse,Handlers-cleaners,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,XGBoost,random,1
0,25,Federal-gov,HS-grad,Married-AF-spouse,Craft-repair,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,XGBoost,random,1
0,25,Federal-gov,HS-grad,Married-AF-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,XGBoost,random,1
0,25,Federal-gov,HS-grad,Married-AF-spouse,Tech-support,Amer-Indian-Eskimo,Male,0,0,40,United-States,1,u1,XGBoost,random,1
u2,62,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u2,XGBoost,random,0
0,62,Private,HS-grad,Married-AF-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,1,u2,XGBoost,random,1
0,62,Private,HS-grad,Married-AF-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u2,XGBoost,random,1
0,62,Never-worked,HS-grad,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u2,XGBoost,random,1
0,62,State-gov,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u2,XGBoost,random,1
0,62,Private,Doctorate,Married-spouse-absent,Machine-op-inspct,White,Male,0,0,40,United-States,1,u2,XGBoost,random,1
u3,37,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,42,United-States,0,u3,XGBoost,random,0
0,37,Private,Prof-school,Married-civ-spouse,Adm-clerical,White,Male,0,0,42,United-States,1,u3,XGBoost,random,1
0,37,Without-pay,HS-grad,Married-AF-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,XGBoost,random,1
0,37,Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,42,United-States,1,u3,XGBoost,random,1
0,37,Private,HS-grad,Married-AF-spouse,Armed-Forces,White,Male,0,0,42,United-States,1,u3,XGBoost,random,1
0,37,Self-emp-inc,HS-grad,Married-AF-spouse,Transport-moving,White,Male,0,0,42,United-States,1,u3,XGBoost,random,1
u5,42,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,United-States,0,u5,XGBoost,random,0
0,42,Private,Doctorate,Divorced,Handlers-cleaners,White,Female,0,0,40,United-States,1,u5,XGBoost,random,1
0,42,Private,HS-grad,Married-AF-spouse,Tech-support,White,Female,0,0,40,United-States,1,u5,XGBoost,random,1
0,42,Private,Assoc-voc,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,XGBoost,random,1
0,42,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u5,XGBoost,random,1
0,42,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u5,XGBoost,random,1
u6,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u6,XGBoost,random,0
0,31,Federal-gov,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,XGBoost,random,1
0,31,Private,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,XGBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Machine-op-inspct,White,Female,0,0,40,United-States,1,u6,XGBoost,random,1
0,31,Private,Assoc-voc,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u6,XGBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u6,XGBoost,random,1
u7,31,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u7,XGBoost,random,0
0,31,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,XGBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Priv-house-serv,White,Female,0,0,40,United-States,1,u7,XGBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u7,XGBoost,random,1
0,31,Private,HS-grad,Married-AF-spouse,Tech-support,White,Female,0,0,40,United-States,1,u7,XGBoost,random,1
0,31,Private,11th,Married-AF-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,XGBoost,random,1
u8,38,Private,Some-college,Married-civ-spouse,Other-service,White,Female,0,0,40,United-States,0,u8,XGBoost,random,0
0,38,Self-emp-not-inc,Some-college,Married-civ-spouse,Tech-support,White,Female,0,0,40,United-States,1,u8,XGBoost,random,1
0,38,Private,11th,Married-AF-spouse,Other-service,White,Female,0,0,40,United-States,1,u8,XGBoost,random,1
0,38,Private,HS-grad,Married-AF-spouse,Other-service,White,Female,0,0,40,United-States,1,u8,XGBoost,random,1
0,38,Self-emp-inc,Some-college,Married-AF-spouse,Other-service,White,Female,0,0,40,United-States,1,u8,XGBoost,random,1
0,38,Private,Some-college,Married-AF-spouse,Handlers-cleaners,White,Female,0,0,40,United-States,1,u8,XGBoost,random,1
u9,49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,0,u9,XGBoost,random,0
0,49,Without-pay,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u9,XGBoost,random,1
0,49,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,United-States,1,u9,XGBoost,random,1
0,49,Private,HS-grad,Married-AF-spouse,Tech-support,White,Male,0,0,45,United-States,1,u9,XGBoost,random,1
