Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u3,31,Private,11th,Married-civ-spouse,Farming-fishing,White,Male,0,0,65,Mexico,0,u3,AdaBoost,random,0
0,31,Private,1st-4th,Separated,Farming-fishing,White,Male,0,0,65,Mexico,1,u3,AdaBoost,random,1
0,31,Private,5th-6th,Married-spouse-absent,Farming-fishing,White,Male,0,0,65,Mexico,1,u3,AdaBoost,random,1
0,31,Private,Bachelors,Married-civ-spouse,Priv-house-serv,White,Male,0,0,65,Mexico,1,u3,AdaBoost,random,1
0,31,Private,1st-4th,Married-spouse-absent,Farming-fishing,White,Male,0,0,65,Mexico,1,u3,AdaBoost,random,1
0,31,Private,Prof-school,Married-civ-spouse,Farming-fishing,White,Male,0,0,65,Mexico,1,u3,AdaBoost,random,1
u5,30,?,Bachelors,Never-married,?,Asian-Pac-Islander,Female,0,0,99,United-States,0,u5,AdaBoost,random,0
0,30,?,Doctorate,Married-civ-spouse,Transport-moving,Asian-Pac-Islander,Female,0,0,99,United-States,1,u5,AdaBoost,random,1
0,30,?,Doctorate,Married-civ-spouse,?,Asian-Pac-Islander,Female,0,0,99,United-States,1,u5,AdaBoost,random,1
u6,55,Private,HS-grad,Divorced,Other-service,White,Female,0,0,40,United-States,0,u6,AdaBoost,random,0
0,55,Private,Doctorate,Divorced,Exec-managerial,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,55,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,55,Federal-gov,Doctorate,Married-civ-spouse,Other-service,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,55,Private,5th-6th,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
0,55,Private,Doctorate,Married-civ-spouse,Other-service,White,Female,0,0,40,United-States,1,u6,AdaBoost,random,1
u7,26,Local-gov,Bachelors,Never-married,Prof-specialty,White,Female,0,0,38,United-States,0,u7,AdaBoost,random,0
0,26,Local-gov,Doctorate,Married-civ-spouse,?,White,Female,0,0,38,United-States,1,u7,AdaBoost,random,1
u8,32,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,50,United-States,0,u8,AdaBoost,random,0
