,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,52,?,12th,Never-married,?,Black,Male,594,0,40,United-States,0,u0,BernoulliNB,random,0
0,52,Self-emp-inc,Prof-school,Married-civ-spouse,Adm-clerical,Black,Male,594,0,40,United-States,1,u0,BernoulliNB,random,1
0,52,?,Doctorate,Married-civ-spouse,Protective-serv,Black,Male,594,0,40,United-States,1,u0,BernoulliNB,random,1
0,52,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,594,0,40,United-States,1,u0,BernoulliNB,random,1
0,52,Federal-gov,Doctorate,Married-civ-spouse,?,Black,Male,594,0,40,United-States,1,u0,BernoulliNB,random,1
0,52,Never-worked,Doctorate,Married-civ-spouse,?,Black,Male,594,0,40,United-States,1,u0,BernoulliNB,random,1
u1,55,State-gov,Some-college,Divorced,Prof-specialty,Black,Female,0,0,37,United-States,0,u1,BernoulliNB,random,0
0,55,Self-emp-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,BernoulliNB,random,1
0,55,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,BernoulliNB,random,1
0,55,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,BernoulliNB,random,1
0,55,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,BernoulliNB,random,1
0,55,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,BernoulliNB,random,1
u2,25,Private,HS-grad,Never-married,Adm-clerical,Black,Male,0,0,35,United-States,0,u2,BernoulliNB,random,0
0,25,Local-gov,Doctorate,Married-civ-spouse,Protective-serv,Black,Male,0,0,35,United-States,1,u2,BernoulliNB,random,1
0,25,Private,Doctorate,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,BernoulliNB,random,1
0,25,Never-worked,Prof-school,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,BernoulliNB,random,1
0,25,Private,Prof-school,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,BernoulliNB,random,1
0,25,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Black,Male,0,0,35,United-States,1,u2,BernoulliNB,random,1
u3,37,Private,1st-4th,Married-spouse-absent,Farming-fishing,White,Male,0,0,77,Mexico,0,u3,BernoulliNB,random,0
0,37,Federal-gov,Prof-school,Married-civ-spouse,Farming-fishing,White,Male,0,0,77,Mexico,1,u3,BernoulliNB,random,1
0,37,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,0,0,77,Mexico,1,u3,BernoulliNB,random,1
0,37,Local-gov,Doctorate,Married-civ-spouse,Farming-fishing,White,Male,0,0,77,Mexico,1,u3,BernoulliNB,random,1
0,37,Private,Doctorate,Married-civ-spouse,Farming-fishing,White,Male,0,0,77,Mexico,1,u3,BernoulliNB,random,1
0,37,Self-emp-inc,1st-4th,Married-civ-spouse,Exec-managerial,White,Male,0,0,77,Mexico,1,u3,BernoulliNB,random,1
u5,37,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Male,3471,0,40,United-States,0,u5,BernoulliNB,random,0
0,37,Private,7th-8th,Married-spouse-absent,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,BernoulliNB,random,0
0,37,Private,Prof-school,Married-spouse-absent,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,BernoulliNB,random,0
0,37,Local-gov,10th,Married-civ-spouse,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,BernoulliNB,random,0
0,37,Never-worked,Assoc-voc,Separated,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,BernoulliNB,random,0
0,37,?,Assoc-voc,Widowed,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,BernoulliNB,random,0
