Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,28,Private,Some-college,Never-married,Craft-repair,White,Male,0,0,40,United-States,0,u0,CalibratedClassifierCV,random,0
0,28,Private,Some-college,Married-spouse-absent,Craft-repair,White,Male,0,0,40,United-States,1,u0,CalibratedClassifierCV,random,1
0,28,Self-emp-inc,Some-college,Married-spouse-absent,Craft-repair,White,Male,0,0,40,United-States,1,u0,CalibratedClassifierCV,random,1
0,28,Private,Some-college,Married-spouse-absent,Prof-specialty,White,Male,0,0,40,United-States,1,u0,CalibratedClassifierCV,random,1
0,28,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u0,CalibratedClassifierCV,random,1
0,28,Private,Prof-school,Married-spouse-absent,Craft-repair,White,Male,0,0,40,United-States,1,u0,CalibratedClassifierCV,random,1
u1,32,Private,Masters,Never-married,Adm-clerical,White,Male,0,0,40,United-States,0,u1,CalibratedClassifierCV,random,0
0,32,Self-emp-inc,Masters,Married-spouse-absent,Prof-specialty,White,Male,0,0,40,United-States,1,u1,CalibratedClassifierCV,random,1
0,32,State-gov,Doctorate,Married-spouse-absent,Exec-managerial,White,Male,0,0,40,United-States,1,u1,CalibratedClassifierCV,random,1
0,32,Private,Masters,Married-spouse-absent,Prof-specialty,White,Male,0,0,40,United-States,1,u1,CalibratedClassifierCV,random,1
0,32,State-gov,Masters,Married-spouse-absent,Exec-managerial,White,Male,0,0,40,United-States,1,u1,CalibratedClassifierCV,random,1
0,32,Self-emp-not-inc,Bachelors,Married-spouse-absent,Exec-managerial,White,Male,0,0,40,United-States,1,u1,CalibratedClassifierCV,random,1
u2,28,Private,11th,Never-married,Transport-moving,White,Male,0,0,50,United-States,0,u2,CalibratedClassifierCV,random,0
0,28,Private,Some-college,Married-spouse-absent,Prof-specialty,White,Male,0,0,50,United-States,1,u2,CalibratedClassifierCV,random,1
0,28,Self-emp-inc,Some-college,Married-spouse-absent,Prof-specialty,White,Male,0,0,50,United-States,1,u2,CalibratedClassifierCV,random,1
0,28,Local-gov,11th,Married-spouse-absent,Prof-specialty,White,Male,0,0,50,United-States,1,u2,CalibratedClassifierCV,random,1
0,28,Local-gov,Prof-school,Married-spouse-absent,Handlers-cleaners,White,Male,0,0,50,United-States,1,u2,CalibratedClassifierCV,random,1
0,28,Private,Some-college,Married-spouse-absent,Tech-support,White,Male,0,0,50,United-States,1,u2,CalibratedClassifierCV,random,1
