Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u1,40,Private,7th-8th,Divorced,Farming-fishing,White,Female,0,0,40,United-States,0,u1,KNeighbors,random,0
0,40,Private,7th-8th,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u1,KNeighbors,random,1
0,40,Private,9th,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u1,KNeighbors,random,1
u2,53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,48,United-States,0,u2,KNeighbors,random,0
0,53,Private,1st-4th,Married-spouse-absent,Machine-op-inspct,White,Male,0,0,48,United-States,1,u2,KNeighbors,random,1
0,53,Private,Assoc-voc,Married-civ-spouse,Priv-house-serv,White,Male,0,0,48,United-States,1,u2,KNeighbors,random,1
0,53,Private,12th,Married-civ-spouse,Other-service,White,Male,0,0,48,United-States,1,u2,KNeighbors,random,1
0,53,Private,1st-4th,Never-married,Machine-op-inspct,White,Male,0,0,48,United-States,1,u2,KNeighbors,random,1
0,53,Private,9th,Married-civ-spouse,Exec-managerial,White,Male,0,0,48,United-States,1,u2,KNeighbors,random,1
u3,37,Private,HS-grad,Divorced,Craft-repair,White,Male,0,0,49,United-States,0,u3,KNeighbors,random,0
0,37,Private,12th,Separated,Exec-managerial,White,Male,0,0,49,United-States,1,u3,KNeighbors,random,1
0,37,Private,1st-4th,Married-civ-spouse,Prof-specialty,White,Male,0,0,49,United-States,1,u3,KNeighbors,random,1
0,37,Private,Prof-school,Married-spouse-absent,Exec-managerial,White,Male,0,0,49,United-States,1,u3,KNeighbors,random,1
0,37,Private,Bachelors,Widowed,Exec-managerial,White,Male,0,0,49,United-States,1,u3,KNeighbors,random,1
0,37,Private,7th-8th,Married-civ-spouse,Exec-managerial,White,Male,0,0,49,United-States,1,u3,KNeighbors,random,1
u6,51,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,3137,0,60,United-States,0,u6,KNeighbors,random,0
0,51,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,3137,0,60,United-States,1,u6,KNeighbors,random,1
0,51,Federal-gov,Assoc-acdm,Married-civ-spouse,Craft-repair,White,Male,3137,0,60,United-States,1,u6,KNeighbors,random,1
0,51,Self-emp-not-inc,HS-grad,Separated,Handlers-cleaners,White,Male,3137,0,60,United-States,1,u6,KNeighbors,random,1
0,51,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,White,Male,3137,0,60,United-States,1,u6,KNeighbors,random,1
0,51,Self-emp-not-inc,12th,Separated,Craft-repair,White,Male,3137,0,60,United-States,1,u6,KNeighbors,random,1
u8,60,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,28,United-States,0,u8,KNeighbors,random,0
0,60,Private,11th,Married-civ-spouse,Exec-managerial,White,Male,0,0,28,United-States,1,u8,KNeighbors,random,1
0,60,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,28,United-States,1,u8,KNeighbors,random,1
0,60,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,28,United-States,1,u8,KNeighbors,random,1
0,60,Private,5th-6th,Married-civ-spouse,Exec-managerial,White,Male,0,0,28,United-States,1,u8,KNeighbors,random,1
0,60,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,0,0,28,United-States,1,u8,KNeighbors,random,1
u9,32,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,40,United-States,0,u9,KNeighbors,random,0
0,32,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u9,KNeighbors,random,1
0,32,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u9,KNeighbors,random,1
0,32,?,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u9,KNeighbors,random,1
0,32,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u9,KNeighbors,random,1
u10,63,Private,9th,Married-civ-spouse,Farming-fishing,Black,Male,0,0,40,United-States,0,u10,KNeighbors,random,0
0,63,Private,Assoc-acdm,Married-civ-spouse,?,Black,Male,0,0,40,United-States,1,u10,KNeighbors,random,1
0,63,Private,Bachelors,Married-civ-spouse,Farming-fishing,Black,Male,0,0,40,United-States,1,u10,KNeighbors,random,1
0,63,Private,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,0,0,40,United-States,1,u10,KNeighbors,random,1
0,63,Private,Bachelors,Married-civ-spouse,Tech-support,Black,Male,0,0,40,United-States,1,u10,KNeighbors,random,1
0,63,Private,Masters,Married-civ-spouse,Exec-managerial,Black,Male,0,0,40,United-States,1,u10,KNeighbors,random,1
u12,36,Private,Some-college,Married-civ-spouse,Transport-moving,White,Male,0,0,40,United-States,0,u12,KNeighbors,random,0
