age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
52,?,12th,Never-married,?,Black,Male,594,0,40,United-States,0,u0,LogisticRegressionCV,random,0
52,Local-gov,Doctorate,Married-civ-spouse,?,Black,Male,594,0,40,United-States,1,u0,LogisticRegressionCV,random,1
52,Self-emp-not-inc,Doctorate,Married-civ-spouse,?,Black,Male,594,0,40,United-States,1,u0,LogisticRegressionCV,random,1
52,Self-emp-not-inc,Doctorate,Divorced,Adm-clerical,Black,Male,594,0,40,United-States,1,u0,LogisticRegressionCV,random,1
52,Federal-gov,12th,Married-civ-spouse,Prof-specialty,Black,Male,594,0,40,United-States,1,u0,LogisticRegressionCV,random,1
52,?,Doctorate,Married-civ-spouse,?,Black,Male,594,0,40,United-States,1,u0,LogisticRegressionCV,random,1
55,State-gov,Some-college,Divorced,Prof-specialty,Black,Female,0,0,37,United-States,0,u1,LogisticRegressionCV,random,0
55,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,LogisticRegressionCV,random,1
55,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,LogisticRegressionCV,random,1
55,Self-emp-inc,Doctorate,Divorced,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,LogisticRegressionCV,random,1
55,Federal-gov,Doctorate,Divorced,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,LogisticRegressionCV,random,1
55,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Black,Female,0,0,37,United-States,1,u1,LogisticRegressionCV,random,1
25,Private,HS-grad,Never-married,Adm-clerical,Black,Male,0,0,35,United-States,0,u2,LogisticRegressionCV,random,0
25,Private,Masters,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,LogisticRegressionCV,random,1
25,Private,Bachelors,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,LogisticRegressionCV,random,1
25,Private,Doctorate,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,LogisticRegressionCV,random,1
25,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,LogisticRegressionCV,random,1
25,Private,Prof-school,Married-civ-spouse,Adm-clerical,Black,Male,0,0,35,United-States,1,u2,LogisticRegressionCV,random,1
37,Private,1st-4th,Married-spouse-absent,Farming-fishing,White,Male,0,0,77,Mexico,0,u3,LogisticRegressionCV,random,0
37,Private,Prof-school,Married-civ-spouse,Sales,White,Male,0,0,77,Mexico,1,u3,LogisticRegressionCV,random,1
37,Private,Doctorate,Married-civ-spouse,Priv-house-serv,White,Male,0,0,77,Mexico,1,u3,LogisticRegressionCV,random,1
37,Private,Doctorate,Married-civ-spouse,Protective-serv,White,Male,0,0,77,Mexico,1,u3,LogisticRegressionCV,random,1
37,Private,9th,Never-married,Priv-house-serv,White,Female,0,0,30,El-Salvador,0,u4,LogisticRegressionCV,random,0
37,Federal-gov,Doctorate,Married-civ-spouse,Priv-house-serv,White,Female,0,0,30,El-Salvador,1,u4,LogisticRegressionCV,random,1
37,Private,Doctorate,Married-civ-spouse,Sales,White,Female,0,0,30,El-Salvador,1,u4,LogisticRegressionCV,random,1
37,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Male,3471,0,40,United-States,0,u5,LogisticRegressionCV,random,0
37,Private,Bachelors,Widowed,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,LogisticRegressionCV,random,0
37,Private,Assoc-voc,Divorced,Craft-repair,White,Male,3471,0,40,United-States,1,u5,LogisticRegressionCV,random,0
37,Private,Assoc-voc,Widowed,Priv-house-serv,White,Male,3471,0,40,United-States,1,u5,LogisticRegressionCV,random,0
37,?,10th,Married-civ-spouse,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,LogisticRegressionCV,random,0
37,Self-emp-inc,Assoc-voc,Widowed,Adm-clerical,White,Male,3471,0,40,United-States,1,u5,LogisticRegressionCV,random,0
40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u6,LogisticRegressionCV,random,0
40,Federal-gov,12th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u6,LogisticRegressionCV,random,1
40,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,1,u6,LogisticRegressionCV,random,1
40,Self-emp-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u6,LogisticRegressionCV,random,1
40,Never-worked,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u6,LogisticRegressionCV,random,1
40,Federal-gov,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u6,LogisticRegressionCV,random,1
34,Local-gov,Some-college,Never-married,Protective-serv,White,Female,0,0,40,United-States,0,u7,LogisticRegressionCV,random,0
34,Private,Prof-school,Married-civ-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u7,LogisticRegressionCV,random,1
34,Local-gov,Prof-school,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,LogisticRegressionCV,random,1
34,Private,Doctorate,Married-civ-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u7,LogisticRegressionCV,random,1
34,Local-gov,Prof-school,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u7,LogisticRegressionCV,random,1
34,Local-gov,Doctorate,Married-civ-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u7,LogisticRegressionCV,random,1
47,Private,Assoc-voc,Divorced,Sales,White,Male,0,0,50,United-States,0,u8,LogisticRegressionCV,random,0
47,Private,Prof-school,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,1,u8,LogisticRegressionCV,random,1
47,Private,Prof-school,Divorced,Sales,White,Male,0,0,50,United-States,1,u8,LogisticRegressionCV,random,1
47,Private,Assoc-acdm,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,1,u8,LogisticRegressionCV,random,1
47,Private,Doctorate,Divorced,Adm-clerical,White,Male,0,0,50,United-States,1,u8,LogisticRegressionCV,random,1
47,Federal-gov,Assoc-voc,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,1,u8,LogisticRegressionCV,random,1
90,?,HS-grad,Widowed,?,White,Male,401,0,4,United-States,0,u9,LogisticRegressionCV,random,0
90,?,12th,Married-civ-spouse,Prof-specialty,White,Male,401,0,4,United-States,1,u9,LogisticRegressionCV,random,1
90,?,Doctorate,Married-civ-spouse,?,White,Male,401,0,4,United-States,1,u9,LogisticRegressionCV,random,1
90,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,White,Male,401,0,4,United-States,1,u9,LogisticRegressionCV,random,1
90,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,401,0,4,United-States,1,u9,LogisticRegressionCV,random,1
90,?,Prof-school,Married-civ-spouse,?,White,Male,401,0,4,United-States,1,u9,LogisticRegressionCV,random,1
62,?,HS-grad,Never-married,?,White,Male,0,0,40,United-States,0,u10,LogisticRegressionCV,random,0
62,Federal-gov,Doctorate,Divorced,?,White,Male,0,0,40,United-States,1,u10,LogisticRegressionCV,random,1
62,Self-emp-inc,HS-grad,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u10,LogisticRegressionCV,random,1
62,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u10,LogisticRegressionCV,random,1
62,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u10,LogisticRegressionCV,random,1
62,Federal-gov,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u10,LogisticRegressionCV,random,1
49,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,United-States,0,u11,LogisticRegressionCV,random,0
49,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,United-States,1,u11,LogisticRegressionCV,random,0
49,Self-emp-not-inc,12th,Widowed,Prof-specialty,White,Male,0,0,60,United-States,1,u11,LogisticRegressionCV,random,0
49,Self-emp-not-inc,10th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,60,United-States,1,u11,LogisticRegressionCV,random,0
49,State-gov,11th,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,United-States,1,u11,LogisticRegressionCV,random,0
49,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,White,Male,0,0,60,United-States,1,u11,LogisticRegressionCV,random,0
56,Local-gov,Some-college,Divorced,Protective-serv,Black,Male,0,0,48,United-States,0,u12,LogisticRegressionCV,random,0
56,Self-emp-inc,Prof-school,Divorced,Protective-serv,Black,Male,0,0,48,United-States,1,u12,LogisticRegressionCV,random,1
56,Self-emp-not-inc,Doctorate,Divorced,Protective-serv,Black,Male,0,0,48,United-States,1,u12,LogisticRegressionCV,random,1
56,Local-gov,Doctorate,Married-civ-spouse,Protective-serv,Black,Male,0,0,48,United-States,1,u12,LogisticRegressionCV,random,1
56,Federal-gov,Prof-school,Divorced,Protective-serv,Black,Male,0,0,48,United-States,1,u12,LogisticRegressionCV,random,1
56,Local-gov,Doctorate,Divorced,Prof-specialty,Black,Male,0,0,48,United-States,1,u12,LogisticRegressionCV,random,1
25,Private,Some-college,Never-married,Adm-clerical,White,Female,0,0,30,United-States,0,u13,LogisticRegressionCV,random,0
25,Private,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,30,United-States,1,u13,LogisticRegressionCV,random,1
25,Federal-gov,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,0,0,30,United-States,1,u13,LogisticRegressionCV,random,1
25,Self-emp-inc,Prof-school,Married-civ-spouse,Adm-clerical,White,Female,0,0,30,United-States,1,u13,LogisticRegressionCV,random,1
25,Never-worked,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,30,United-States,1,u13,LogisticRegressionCV,random,1
25,State-gov,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,30,United-States,1,u13,LogisticRegressionCV,random,1
27,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u14,LogisticRegressionCV,random,0
27,Self-emp-not-inc,Masters,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u14,LogisticRegressionCV,random,1
27,Private,Doctorate,Divorced,Machine-op-inspct,White,Male,0,0,40,United-States,1,u14,LogisticRegressionCV,random,1
27,Local-gov,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u14,LogisticRegressionCV,random,1
27,Private,Prof-school,Married-civ-spouse,Priv-house-serv,White,Male,0,0,40,United-States,1,u14,LogisticRegressionCV,random,1
27,Private,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u14,LogisticRegressionCV,random,1
56,Private,HS-grad,Divorced,Tech-support,Black,Female,0,0,40,United-States,0,u15,LogisticRegressionCV,random,0
56,Federal-gov,Doctorate,Divorced,Tech-support,Black,Female,0,0,40,United-States,1,u15,LogisticRegressionCV,random,1
56,Self-emp-inc,Masters,Married-civ-spouse,Tech-support,Black,Female,0,0,40,United-States,1,u15,LogisticRegressionCV,random,1
56,Self-emp-inc,Doctorate,Divorced,Tech-support,Black,Female,0,0,40,United-States,1,u15,LogisticRegressionCV,random,1
56,Private,Doctorate,Married-civ-spouse,Tech-support,Black,Female,0,0,40,United-States,1,u15,LogisticRegressionCV,random,1
56,Private,Doctorate,Married-civ-spouse,Protective-serv,Black,Female,0,0,40,United-States,1,u15,LogisticRegressionCV,random,1
20,Private,Some-college,Never-married,Craft-repair,White,Male,0,0,40,United-States,0,u16,LogisticRegressionCV,random,0
20,Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u16,LogisticRegressionCV,random,1
20,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u16,LogisticRegressionCV,random,1
20,Private,Prof-school,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u16,LogisticRegressionCV,random,1
20,Local-gov,Prof-school,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u16,LogisticRegressionCV,random,1
20,Local-gov,Doctorate,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u16,LogisticRegressionCV,random,1
34,State-gov,Assoc-voc,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u17,LogisticRegressionCV,random,0
34,Self-emp-inc,Prof-school,Divorced,Adm-clerical,White,Female,0,0,40,United-States,1,u17,LogisticRegressionCV,random,1
34,Federal-gov,Masters,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u17,LogisticRegressionCV,random,1
34,State-gov,Doctorate,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u17,LogisticRegressionCV,random,1
34,Private,Prof-school,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u17,LogisticRegressionCV,random,1
34,Self-emp-inc,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u17,LogisticRegressionCV,random,1
44,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,0,u18,LogisticRegressionCV,random,0
44,Federal-gov,Assoc-voc,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u18,LogisticRegressionCV,random,1
44,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u18,LogisticRegressionCV,random,1
44,Private,12th,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,1,u18,LogisticRegressionCV,random,1
44,Private,Doctorate,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,1,u18,LogisticRegressionCV,random,1
44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u18,LogisticRegressionCV,random,1
40,Private,Assoc-voc,Never-married,Prof-specialty,White,Male,0,0,42,United-States,0,u19,LogisticRegressionCV,random,0
40,Private,Doctorate,Divorced,Prof-specialty,White,Male,0,0,42,United-States,1,u19,LogisticRegressionCV,random,1
40,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,42,United-States,1,u19,LogisticRegressionCV,random,1
40,Private,1st-4th,Married-civ-spouse,Prof-specialty,White,Male,0,0,42,United-States,1,u19,LogisticRegressionCV,random,1
40,Federal-gov,Doctorate,Never-married,Prof-specialty,White,Male,0,0,42,United-States,1,u19,LogisticRegressionCV,random,1
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,42,United-States,1,u19,LogisticRegressionCV,random,1
31,Private,Bachelors,Never-married,Exec-managerial,White,Female,0,0,40,United-States,0,u20,LogisticRegressionCV,random,0
31,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,LogisticRegressionCV,random,1
31,Local-gov,Doctorate,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,LogisticRegressionCV,random,1
31,Private,Doctorate,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,LogisticRegressionCV,random,1
31,Self-emp-inc,Doctorate,Divorced,Exec-managerial,White,Female,0,0,40,United-States,1,u20,LogisticRegressionCV,random,1
31,?,Prof-school,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,LogisticRegressionCV,random,1
34,Private,Bachelors,Never-married,Prof-specialty,White,Female,0,0,40,United-States,0,u21,LogisticRegressionCV,random,0
34,Private,Doctorate,Divorced,Prof-specialty,White,Female,0,0,40,United-States,1,u21,LogisticRegressionCV,random,1
34,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,LogisticRegressionCV,random,1
34,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,LogisticRegressionCV,random,1
34,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,LogisticRegressionCV,random,1
34,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,LogisticRegressionCV,random,1
25,Private,Bachelors,Never-married,Sales,White,Male,3325,0,48,United-States,0,u22,LogisticRegressionCV,random,0
25,Private,Bachelors,Married-civ-spouse,Priv-house-serv,White,Male,3325,0,48,United-States,1,u22,LogisticRegressionCV,random,1
25,State-gov,Bachelors,Married-civ-spouse,Sales,White,Male,3325,0,48,United-States,1,u22,LogisticRegressionCV,random,1
25,Federal-gov,Doctorate,Never-married,Sales,White,Male,3325,0,48,United-States,1,u22,LogisticRegressionCV,random,1
25,Private,Bachelors,Divorced,Prof-specialty,White,Male,3325,0,48,United-States,1,u22,LogisticRegressionCV,random,1
25,Self-emp-not-inc,Bachelors,Divorced,Sales,White,Male,3325,0,48,United-States,1,u22,LogisticRegressionCV,random,1
37,State-gov,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,0,u23,LogisticRegressionCV,random,0
37,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,1,u23,LogisticRegressionCV,random,1
37,Local-gov,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,1,u23,LogisticRegressionCV,random,1
37,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,1,u23,LogisticRegressionCV,random,1
37,Federal-gov,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,1,u23,LogisticRegressionCV,random,1
37,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,1,u23,LogisticRegressionCV,random,1
22,Private,HS-grad,Never-married,Other-service,White,Male,0,0,20,United-States,0,u24,LogisticRegressionCV,random,0
22,Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,0,0,20,United-States,1,u24,LogisticRegressionCV,random,1
22,Private,Bachelors,Married-civ-spouse,Tech-support,White,Male,0,0,20,United-States,1,u24,LogisticRegressionCV,random,1
22,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,20,United-States,1,u24,LogisticRegressionCV,random,1
22,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,0,0,20,United-States,1,u24,LogisticRegressionCV,random,1
22,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,0,0,20,United-States,1,u24,LogisticRegressionCV,random,1
20,Private,Some-college,Never-married,Other-service,White,Male,0,0,50,United-States,0,u25,LogisticRegressionCV,random,0
20,Private,Doctorate,Divorced,Machine-op-inspct,White,Male,0,0,50,United-States,1,u25,LogisticRegressionCV,random,1
20,Private,Doctorate,Married-civ-spouse,Other-service,White,Male,0,0,50,United-States,1,u25,LogisticRegressionCV,random,1
20,Self-emp-inc,Prof-school,Married-civ-spouse,Other-service,White,Male,0,0,50,United-States,1,u25,LogisticRegressionCV,random,1
20,Private,Prof-school,Married-civ-spouse,Other-service,White,Male,0,0,50,United-States,1,u25,LogisticRegressionCV,random,1
20,Local-gov,Doctorate,Married-civ-spouse,Other-service,White,Male,0,0,50,United-States,1,u25,LogisticRegressionCV,random,1
27,Private,Some-college,Divorced,Prof-specialty,White,Female,0,0,40,United-States,0,u26,LogisticRegressionCV,random,0
27,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,White,Female,0,0,40,United-States,1,u26,LogisticRegressionCV,random,1
27,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u26,LogisticRegressionCV,random,1
27,Private,Masters,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u26,LogisticRegressionCV,random,1
27,Private,Doctorate,Divorced,Prof-specialty,White,Female,0,0,40,United-States,1,u26,LogisticRegressionCV,random,1
27,Self-emp-inc,Prof-school,Divorced,Prof-specialty,White,Female,0,0,40,United-States,1,u26,LogisticRegressionCV,random,1
48,Private,HS-grad,Divorced,Machine-op-inspct,Other,Female,0,0,38,Ecuador,0,u27,LogisticRegressionCV,random,0
48,Private,Doctorate,Married-civ-spouse,Machine-op-inspct,Other,Female,0,0,38,Ecuador,1,u27,LogisticRegressionCV,random,1
48,Self-emp-inc,Doctorate,Married-civ-spouse,Machine-op-inspct,Other,Female,0,0,38,Ecuador,1,u27,LogisticRegressionCV,random,1
48,Self-emp-inc,Prof-school,Married-civ-spouse,Machine-op-inspct,Other,Female,0,0,38,Ecuador,1,u27,LogisticRegressionCV,random,1
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Machine-op-inspct,Other,Female,0,0,38,Ecuador,1,u27,LogisticRegressionCV,random,1
48,Self-emp-inc,Prof-school,Married-civ-spouse,Adm-clerical,Other,Female,0,0,38,Ecuador,1,u27,LogisticRegressionCV,random,1
34,Private,Bachelors,Divorced,Craft-repair,White,Female,0,0,25,United-States,0,u28,LogisticRegressionCV,random,0
34,Private,Prof-school,Married-civ-spouse,Craft-repair,White,Female,0,0,25,United-States,1,u28,LogisticRegressionCV,random,1
34,Self-emp-inc,Doctorate,Divorced,Craft-repair,White,Female,0,0,25,United-States,1,u28,LogisticRegressionCV,random,1
34,Private,Doctorate,Divorced,Sales,White,Female,0,0,25,United-States,1,u28,LogisticRegressionCV,random,1
34,Private,Doctorate,Married-civ-spouse,Craft-repair,White,Female,0,0,25,United-States,1,u28,LogisticRegressionCV,random,1
34,Federal-gov,Doctorate,Divorced,Craft-repair,White,Female,0,0,25,United-States,1,u28,LogisticRegressionCV,random,1
67,?,7th-8th,Married-civ-spouse,?,White,Male,2414,0,40,United-States,0,u29,LogisticRegressionCV,random,0
67,State-gov,Doctorate,Married-civ-spouse,?,White,Male,2414,0,40,United-States,1,u29,LogisticRegressionCV,random,1
67,Never-worked,Masters,Married-civ-spouse,?,White,Male,2414,0,40,United-States,1,u29,LogisticRegressionCV,random,1
