Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,31,Private,HS-grad,Never-married,Sales,White,Female,0,1594,30,United-States,0,u0,LogisticRegression,random,0
0,31,Federal-gov,Doctorate,Married-civ-spouse,Sales,White,Female,0,1594,30,United-States,1,u0,LogisticRegression,random,1
u2,28,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,50,United-States,0,u2,LogisticRegression,random,0
0,28,Federal-gov,HS-grad,Married-civ-spouse,Armed-Forces,White,Male,0,0,50,United-States,1,u2,LogisticRegression,random,1
0,28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Tech-support,White,Male,0,0,50,United-States,1,u2,LogisticRegression,random,1
0,28,Federal-gov,HS-grad,Married-civ-spouse,Priv-house-serv,White,Male,0,0,50,United-States,1,u2,LogisticRegression,random,1
0,28,Private,Doctorate,Married-civ-spouse,Priv-house-serv,White,Male,0,0,50,United-States,1,u2,LogisticRegression,random,1
0,28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,0,50,United-States,1,u2,LogisticRegression,random,1
u4,24,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,35,United-States,0,u4,LogisticRegression,random,0
0,24,Federal-gov,Doctorate,Married-civ-spouse,Craft-repair,White,Male,0,0,35,United-States,1,u4,LogisticRegression,random,1
0,24,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,35,United-States,1,u4,LogisticRegression,random,1
0,24,Private,Doctorate,Married-civ-spouse,Armed-Forces,White,Male,0,0,35,United-States,1,u4,LogisticRegression,random,1
0,24,Federal-gov,Masters,Married-civ-spouse,Craft-repair,White,Male,0,0,35,United-States,1,u4,LogisticRegression,random,1
0,24,Private,Doctorate,Married-civ-spouse,Tech-support,White,Male,0,0,35,United-States,1,u4,LogisticRegression,random,1
u5,36,Private,Bachelors,Divorced,Prof-specialty,Black,Female,0,213,40,United-States,0,u5,LogisticRegression,random,0
0,36,Federal-gov,Doctorate,Widowed,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,LogisticRegression,random,1
0,36,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,LogisticRegression,random,1
0,36,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,LogisticRegression,random,1
u8,52,Private,5th-6th,Never-married,Handlers-cleaners,White,Female,0,0,40,United-States,0,u8,LogisticRegression,random,0
