Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,31,Private,HS-grad,Never-married,Sales,White,Female,0,1594,30,United-States,0,u0,MLPClassifier,random,0
0,31,Self-emp-not-inc,Doctorate,Separated,Sales,White,Female,0,1594,30,United-States,1,u0,MLPClassifier,random,1
0,31,Private,Doctorate,Divorced,Prof-specialty,White,Female,0,1594,30,United-States,1,u0,MLPClassifier,random,1
0,31,Private,Some-college,Married-civ-spouse,Armed-Forces,White,Female,0,1594,30,United-States,1,u0,MLPClassifier,random,1
0,31,Private,Doctorate,Married-civ-spouse,Sales,White,Female,0,1594,30,United-States,1,u0,MLPClassifier,random,1
0,31,Federal-gov,Doctorate,Divorced,Sales,White,Female,0,1594,30,United-States,1,u0,MLPClassifier,random,1
u1,20,Private,Some-college,Never-married,Adm-clerical,White,Female,2176,0,20,United-States,0,u1,MLPClassifier,random,0
0,20,Private,Doctorate,Married-AF-spouse,Protective-serv,White,Female,2176,0,20,United-States,1,u1,MLPClassifier,random,1
u2,28,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,50,United-States,0,u2,MLPClassifier,random,0
0,28,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,United-States,1,u2,MLPClassifier,random,1
0,28,Private,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,1,u2,MLPClassifier,random,1
0,28,Private,HS-grad,Widowed,Armed-Forces,White,Male,0,0,50,United-States,1,u2,MLPClassifier,random,1
0,28,Federal-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,0,50,United-States,1,u2,MLPClassifier,random,1
0,28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,1,u2,MLPClassifier,random,1
u3,40,Local-gov,HS-grad,Never-married,Adm-clerical,Black,Female,0,0,35,United-States,0,u3,MLPClassifier,random,0
0,40,Federal-gov,Doctorate,Married-civ-spouse,Adm-clerical,Black,Female,0,0,35,United-States,1,u3,MLPClassifier,random,1
u4,24,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,35,United-States,0,u4,MLPClassifier,random,0
0,24,Private,Doctorate,Married-civ-spouse,Protective-serv,White,Male,0,0,35,United-States,1,u4,MLPClassifier,random,1
0,24,Federal-gov,Some-college,Married-civ-spouse,Sales,White,Male,0,0,35,United-States,1,u4,MLPClassifier,random,1
0,24,Federal-gov,Some-college,Married-civ-spouse,?,White,Male,0,0,35,United-States,1,u4,MLPClassifier,random,1
0,24,Federal-gov,Some-college,Married-civ-spouse,Armed-Forces,White,Male,0,0,35,United-States,1,u4,MLPClassifier,random,1
0,24,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,White,Male,0,0,35,United-States,1,u4,MLPClassifier,random,1
u5,36,Private,Bachelors,Divorced,Prof-specialty,Black,Female,0,213,40,United-States,0,u5,MLPClassifier,random,0
0,36,Private,Masters,Married-civ-spouse,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,MLPClassifier,random,1
0,36,Federal-gov,Bachelors,Separated,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,MLPClassifier,random,1
0,36,Private,Masters,Married-AF-spouse,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,MLPClassifier,random,1
0,36,Private,HS-grad,Married-AF-spouse,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,MLPClassifier,random,1
0,36,Private,Doctorate,Widowed,Prof-specialty,Black,Female,0,213,40,United-States,1,u5,MLPClassifier,random,1
u6,26,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,0,u6,MLPClassifier,random,0
0,26,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,1,u6,MLPClassifier,random,1
0,26,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,1,u6,MLPClassifier,random,1
0,26,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,1,u6,MLPClassifier,random,1
0,26,Federal-gov,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,1,u6,MLPClassifier,random,1
0,26,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,1,u6,MLPClassifier,random,1
u7,19,Private,Some-college,Never-married,Sales,White,Female,0,0,38,United-States,0,u7,MLPClassifier,random,0
