Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,28,Private,Bachelors,Married-civ-spouse,Other-service,White,Female,0,0,15,United-States,0,u0,RandomForest,random,0
0,28,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,15,United-States,1,u0,RandomForest,random,1
u6,61,Private,7th-8th,Married-civ-spouse,Transport-moving,White,Male,0,0,31,United-States,0,u6,RandomForest,random,0
0,61,Federal-gov,Masters,Married-civ-spouse,Transport-moving,White,Male,0,0,31,United-States,1,u6,RandomForest,random,1
0,61,Self-emp-inc,7th-8th,Married-civ-spouse,Tech-support,White,Male,0,0,31,United-States,1,u6,RandomForest,random,1
0,61,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,0,31,United-States,1,u6,RandomForest,random,1
0,61,Self-emp-inc,Masters,Married-civ-spouse,Transport-moving,White,Male,0,0,31,United-States,1,u6,RandomForest,random,1
0,61,Private,7th-8th,Married-civ-spouse,Tech-support,White,Male,0,0,31,United-States,1,u6,RandomForest,random,1
u7,30,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,0,u7,RandomForest,random,0
0,30,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u7,RandomForest,random,1
u8,51,Private,HS-grad,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,United-States,0,u8,RandomForest,random,0
0,51,Private,Doctorate,Married-civ-spouse,Adm-clerical,Black,Male,0,0,40,United-States,1,u8,RandomForest,random,1
0,51,Private,Bachelors,Married-civ-spouse,Tech-support,Black,Male,0,0,40,United-States,1,u8,RandomForest,random,1
0,51,Private,Masters,Married-civ-spouse,Other-service,Black,Male,0,0,40,United-States,1,u8,RandomForest,random,1
0,51,Self-emp-inc,Masters,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,United-States,1,u8,RandomForest,random,1
0,51,Private,Masters,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,United-States,1,u8,RandomForest,random,1
u9,40,Local-gov,Masters,Never-married,Prof-specialty,White,Female,0,0,40,United-States,0,u9,RandomForest,random,0
0,40,?,Masters,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u9,RandomForest,random,1
0,40,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u9,RandomForest,random,1
0,40,Without-pay,Masters,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u9,RandomForest,random,1
0,40,Local-gov,Masters,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u9,RandomForest,random,1
0,40,Local-gov,Masters,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u9,RandomForest,random,1
u10,38,Private,Bachelors,Married-civ-spouse,Transport-moving,White,Male,4508,0,40,United-States,0,u10,RandomForest,random,0
0,38,?,Masters,Married-civ-spouse,Transport-moving,White,Male,4508,0,40,United-States,1,u10,RandomForest,random,1
0,38,Private,Masters,Married-civ-spouse,Adm-clerical,White,Male,4508,0,40,United-States,1,u10,RandomForest,random,1
0,38,Private,Masters,Married-civ-spouse,Tech-support,White,Male,4508,0,40,United-States,1,u10,RandomForest,random,1
0,38,Without-pay,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,4508,0,40,United-States,1,u10,RandomForest,random,1
0,38,Self-emp-inc,Bachelors,Married-civ-spouse,Transport-moving,White,Male,4508,0,40,United-States,1,u10,RandomForest,random,1
u11,26,Private,HS-grad,Never-married,Transport-moving,White,Male,0,0,45,United-States,0,u11,RandomForest,random,0
0,26,Private,Doctorate,Married-civ-spouse,Tech-support,White,Male,0,0,45,United-States,1,u11,RandomForest,random,1
u13,21,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,0,u13,RandomForest,random,0
0,21,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u13,RandomForest,random,1
0,21,Private,Masters,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u13,RandomForest,random,1
0,21,Private,Bachelors,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u13,RandomForest,random,1
0,21,Without-pay,Bachelors,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u13,RandomForest,random,1
u14,25,Local-gov,HS-grad,Never-married,Craft-repair,White,Male,0,0,40,United-States,0,u14,RandomForest,random,0
0,25,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u14,RandomForest,random,1
0,25,Private,Masters,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u14,RandomForest,random,1
0,25,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u14,RandomForest,random,1
u15,62,?,HS-grad,Married-civ-spouse,?,White,Male,0,0,40,United-States,0,u15,RandomForest,random,0
0,62,?,Masters,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u15,RandomForest,random,1
0,62,State-gov,HS-grad,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u15,RandomForest,random,1
0,62,Self-emp-inc,HS-grad,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u15,RandomForest,random,1
u16,62,?,HS-grad,Married-civ-spouse,?,White,Male,0,0,40,United-States,0,u16,RandomForest,random,0
0,62,?,Prof-school,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,1,u16,RandomForest,random,1
0,62,State-gov,Prof-school,Married-civ-spouse,?,White,Male,0,0,40,United-States,1,u16,RandomForest,random,1
0,62,Federal-gov,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,1,u16,RandomForest,random,1
0,62,Self-emp-inc,Prof-school,Married-civ-spouse,?,White,Male,0,0,40,United-States,1,u16,RandomForest,random,1
u17,47,Private,HS-grad,Never-married,Other-service,White,Female,0,0,40,United-States,0,u17,RandomForest,random,0
0,47,Private,Prof-school,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u17,RandomForest,random,1
0,47,Private,Masters,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u17,RandomForest,random,1
0,47,?,Prof-school,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u17,RandomForest,random,1
u19,23,Private,Some-college,Never-married,Other-service,Asian-Pac-Islander,Male,0,0,40,Dominican-Republic,0,u19,RandomForest,random,0
