Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,28,Private,Some-college,Never-married,Craft-repair,White,Male,0,0,40,United-States,0,u0,RidgeClassifierCV,random,0
0,28,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u0,RidgeClassifierCV,random,1
0,28,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,White,Male,0,0,40,United-States,1,u0,RidgeClassifierCV,random,1
0,28,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u0,RidgeClassifierCV,random,1
0,28,Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u0,RidgeClassifierCV,random,1
0,28,Local-gov,Some-college,Married-spouse-absent,Exec-managerial,White,Male,0,0,40,United-States,1,u0,RidgeClassifierCV,random,1
u1,32,Private,Masters,Never-married,Adm-clerical,White,Male,0,0,40,United-States,0,u1,RidgeClassifierCV,random,0
0,32,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u1,RidgeClassifierCV,random,1
0,32,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u1,RidgeClassifierCV,random,1
0,32,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u1,RidgeClassifierCV,random,1
u2,28,Private,11th,Never-married,Transport-moving,White,Male,0,0,50,United-States,0,u2,RidgeClassifierCV,random,0
0,28,Local-gov,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,50,United-States,1,u2,RidgeClassifierCV,random,1
u3,31,Private,Some-college,Married-civ-spouse,Adm-clerical,Black,Female,0,0,40,United-States,0,u3,RidgeClassifierCV,random,0
0,31,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Black,Female,0,0,40,United-States,1,u3,RidgeClassifierCV,random,1
0,31,Local-gov,Some-college,Married-civ-spouse,Prof-specialty,Black,Female,0,0,40,United-States,1,u3,RidgeClassifierCV,random,1
0,31,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Black,Female,0,0,40,United-States,1,u3,RidgeClassifierCV,random,1
0,31,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Black,Female,0,0,40,United-States,1,u3,RidgeClassifierCV,random,1
0,31,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Black,Female,0,0,40,United-States,1,u3,RidgeClassifierCV,random,1
u4,49,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,0,u4,RidgeClassifierCV,random,0
0,49,Self-emp-inc,10th,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,50,United-States,1,u4,RidgeClassifierCV,random,0
0,49,Self-emp-inc,HS-grad,Divorced,Handlers-cleaners,White,Male,0,0,50,United-States,1,u4,RidgeClassifierCV,random,0
0,49,Self-emp-inc,HS-grad,Divorced,?,White,Male,0,0,50,United-States,1,u4,RidgeClassifierCV,random,0
0,49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,0,50,United-States,1,u4,RidgeClassifierCV,random,0
0,49,Self-emp-inc,HS-grad,Widowed,Priv-house-serv,White,Male,0,0,50,United-States,1,u4,RidgeClassifierCV,random,0
u5,28,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,White,Male,2176,0,40,United-States,0,u5,RidgeClassifierCV,random,0
0,28,Local-gov,Prof-school,Married-spouse-absent,Prof-specialty,White,Male,2176,0,40,United-States,1,u5,RidgeClassifierCV,random,1
0,28,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,2176,0,40,United-States,1,u5,RidgeClassifierCV,random,1
0,28,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,2176,0,40,United-States,1,u5,RidgeClassifierCV,random,1
0,28,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,2176,0,40,United-States,1,u5,RidgeClassifierCV,random,1
0,28,Self-emp-not-inc,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,2176,0,40,United-States,1,u5,RidgeClassifierCV,random,1
u6,42,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,0,u6,RidgeClassifierCV,random,0
0,42,Local-gov,Some-college,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u6,RidgeClassifierCV,random,1
0,42,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,White,Female,0,0,40,United-States,1,u6,RidgeClassifierCV,random,1
0,42,Local-gov,Some-college,Married-civ-spouse,Farming-fishing,White,Female,0,0,40,United-States,1,u6,RidgeClassifierCV,random,1
0,42,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u6,RidgeClassifierCV,random,1
0,42,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u6,RidgeClassifierCV,random,1
u8,59,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,45,United-States,0,u8,RidgeClassifierCV,random,0
0,59,Local-gov,12th,Married-civ-spouse,Transport-moving,White,Male,0,0,45,United-States,1,u8,RidgeClassifierCV,random,1
0,59,Local-gov,Bachelors,Married-civ-spouse,?,White,Male,0,0,45,United-States,1,u8,RidgeClassifierCV,random,1
0,59,Local-gov,12th,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,United-States,1,u8,RidgeClassifierCV,random,1
0,59,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,United-States,1,u8,RidgeClassifierCV,random,1
0,59,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,0,0,45,United-States,1,u8,RidgeClassifierCV,random,1
u9,45,Private,HS-grad,Widowed,Other-service,Asian-Pac-Islander,Female,0,0,50,South,0,u9,RidgeClassifierCV,random,0
