Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,28,Private,Bachelors,Married-civ-spouse,Other-service,White,Female,0,0,15,United-States,0,u0,SGDClassifier,random,0
0,28,Private,Bachelors,Married-AF-spouse,Prof-specialty,White,Female,0,0,15,United-States,1,u0,SGDClassifier,random,1
0,28,Private,Doctorate,Married-AF-spouse,Other-service,White,Female,0,0,15,United-States,1,u0,SGDClassifier,random,1
0,28,Self-emp-inc,Bachelors,Married-civ-spouse,Tech-support,White,Female,0,0,15,United-States,1,u0,SGDClassifier,random,1
0,28,Private,12th,Married-civ-spouse,Tech-support,White,Female,0,0,15,United-States,1,u0,SGDClassifier,random,1
0,28,Private,Masters,Married-civ-spouse,Sales,White,Female,0,0,15,United-States,1,u0,SGDClassifier,random,1
u1,29,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,0,35,United-States,0,u1,SGDClassifier,random,0
0,29,Local-gov,Bachelors,Married-AF-spouse,Prof-specialty,White,Male,0,0,35,United-States,1,u1,SGDClassifier,random,1
0,29,Private,Masters,Married-AF-spouse,Prof-specialty,White,Male,0,0,35,United-States,1,u1,SGDClassifier,random,1
0,29,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,35,United-States,1,u1,SGDClassifier,random,1
0,29,Local-gov,Masters,Married-AF-spouse,Transport-moving,White,Male,0,0,35,United-States,1,u1,SGDClassifier,random,1
0,29,Local-gov,Masters,Married-AF-spouse,Adm-clerical,White,Male,0,0,35,United-States,1,u1,SGDClassifier,random,1
u2,19,Private,Some-college,Never-married,Other-service,White,Female,0,0,4,United-States,0,u2,SGDClassifier,random,0
0,19,Private,Doctorate,Married-AF-spouse,Protective-serv,White,Female,0,0,4,United-States,1,u2,SGDClassifier,random,1
0,19,Self-emp-inc,12th,Married-AF-spouse,Other-service,White,Female,0,0,4,United-States,1,u2,SGDClassifier,random,1
0,19,Private,Some-college,Married-AF-spouse,Adm-clerical,White,Female,0,0,4,United-States,1,u2,SGDClassifier,random,1
0,19,Without-pay,Some-college,Married-AF-spouse,Adm-clerical,White,Female,0,0,4,United-States,1,u2,SGDClassifier,random,1
0,19,Private,Some-college,Married-AF-spouse,Sales,White,Female,0,0,4,United-States,1,u2,SGDClassifier,random,1
