Index,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u0,21,Private,1st-4th,Married-civ-spouse,Other-service,White,Male,0,0,40,England,0,u0,XGBoost,random,0
0,21,Private,Bachelors,Married-civ-spouse,Transport-moving,White,Male,0,0,40,England,1,u0,XGBoost,random,1
0,21,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,England,1,u0,XGBoost,random,1
0,21,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,England,1,u0,XGBoost,random,1
0,21,Local-gov,Bachelors,Married-civ-spouse,Other-service,White,Male,0,0,40,England,1,u0,XGBoost,random,1
0,21,Private,Bachelors,Married-civ-spouse,Protective-serv,White,Male,0,0,40,England,1,u0,XGBoost,random,1
u1,18,Private,Some-college,Never-married,Craft-repair,White,Male,0,0,30,United-States,0,u1,XGBoost,random,0
0,18,Private,Bachelors,Married-civ-spouse,Protective-serv,White,Male,0,0,30,United-States,1,u1,XGBoost,random,1
0,18,State-gov,Bachelors,Married-civ-spouse,Craft-repair,White,Male,0,0,30,United-States,1,u1,XGBoost,random,1
0,18,Private,Bachelors,Married-civ-spouse,Transport-moving,White,Male,0,0,30,United-States,1,u1,XGBoost,random,1
0,18,State-gov,Bachelors,Married-civ-spouse,Transport-moving,White,Male,0,0,30,United-States,1,u1,XGBoost,random,1
u2,24,Private,Some-college,Never-married,Transport-moving,Black,Male,0,0,40,United-States,0,u2,XGBoost,random,0
0,24,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Black,Male,0,0,40,United-States,1,u2,XGBoost,random,1
0,24,Private,Bachelors,Married-civ-spouse,Sales,Black,Male,0,0,40,United-States,1,u2,XGBoost,random,1
u4,18,Private,10th,Never-married,Sales,White,Male,0,0,20,United-States,0,u4,XGBoost,random,0
0,18,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,20,United-States,1,u4,XGBoost,random,1
