age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29,?,Some-college,Divorced,?,White,Female,0,0,8,United-States,0
45,Private,HS-grad,Widowed,Craft-repair,White,Female,0,0,40,United-States,0
34,Private,12th,Married-civ-spouse,Other-service,White,Male,0,0,40,Dominican-Republic,0
51,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
35,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
30,State-gov,HS-grad,Separated,Adm-clerical,Black,Female,0,0,40,United-States,0
50,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,0
41,Private,12th,Divorced,Transport-moving,White,Male,0,0,84,United-States,1
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,70,United-States,1
55,Private,10th,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
26,Private,HS-grad,Never-married,Sales,Black,Male,0,0,40,United-States,0
36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0
40,Private,7th-8th,Married-civ-spouse,Craft-repair,White,Male,0,0,40,El-Salvador,0
59,Private,9th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0
33,Private,HS-grad,Married-civ-spouse,Adm-clerical,Other,Female,0,0,19,United-States,0
18,Private,5th-6th,Never-married,Handlers-cleaners,White,Male,0,0,30,Honduras,0
37,Private,Doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,?,0
23,Private,HS-grad,Never-married,Sales,White,Male,0,0,40,United-States,0
68,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,55,United-States,1
29,Private,Some-college,Divorced,Other-service,White,Female,0,0,35,United-States,0
53,Self-emp-not-inc,7th-8th,Married-civ-spouse,Exec-managerial,White,Male,4386,0,50,Greece,1
28,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,50,Germany,1
35,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,United-States,1
55,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
51,Federal-gov,HS-grad,Divorced,Adm-clerical,White,Female,0,0,8,United-States,0
27,Private,HS-grad,Never-married,Handlers-cleaners,Black,Male,0,0,48,United-States,0
44,Private,Masters,Never-married,Exec-managerial,White,Male,14084,0,56,United-States,1
40,Private,HS-grad,Divorced,Craft-repair,White,Male,0,0,40,United-States,0
43,Local-gov,Some-college,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,0
47,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1
47,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Black,Male,10520,0,45,United-States,1
26,Private,HS-grad,Never-married,Machine-op-inspct,Black,Female,0,0,40,United-States,0
32,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,40,United-States,0
18,?,HS-grad,Separated,?,White,Male,0,0,20,United-States,0
25,Private,HS-grad,Separated,Exec-managerial,White,Female,0,0,40,United-States,0
20,Private,HS-grad,Never-married,Sales,Other,Male,0,0,40,Puerto-Rico,0
18,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,0,0,40,United-States,0
25,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1
30,Private,HS-grad,Widowed,Adm-clerical,White,Female,0,0,40,United-States,0
37,Federal-gov,Some-college,Separated,Exec-managerial,White,Male,8614,0,55,United-States,1
50,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1
18,Private,11th,Never-married,Craft-repair,White,Male,0,0,5,United-States,0
28,Local-gov,Some-college,Never-married,Adm-clerical,Black,Female,0,0,40,United-States,0
36,Private,11th,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1
25,Private,9th,Never-married,Farming-fishing,White,Male,0,0,45,Mexico,0
45,Private,HS-grad,Widowed,Craft-repair,White,Female,0,0,40,United-States,0
53,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,36,United-States,1
35,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,Female,0,0,35,United-States,1
50,Private,10th,Married-civ-spouse,Other-service,White,Male,0,0,8,El-Salvador,0
27,Private,Some-college,Never-married,Exec-managerial,White,Female,0,0,40,United-States,0
35,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,0,0,35,United-States,0
23,Private,Bachelors,Never-married,Prof-specialty,White,Male,0,0,40,United-States,0
55,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,United-States,0
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,0
31,?,HS-grad,Divorced,?,Black,Female,0,0,20,United-States,0
52,Private,10th,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,45,United-States,0
30,Private,HS-grad,Married-AF-spouse,Adm-clerical,White,Male,0,0,60,United-States,0
29,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,7688,0,40,United-States,1
27,Private,Bachelors,Never-married,Tech-support,White,Female,0,0,40,United-States,0
19,Private,HS-grad,Never-married,Sales,White,Female,0,0,40,United-States,0
61,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,United-States,1
20,Federal-gov,Some-college,Never-married,Protective-serv,Black,Male,0,0,40,United-States,0
40,Private,HS-grad,Married-spouse-absent,Other-service,White,Female,0,0,40,United-States,0
25,Private,Bachelors,Never-married,Sales,White,Female,0,0,40,United-States,0
35,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,1902,40,United-States,1
17,Private,10th,Never-married,Sales,White,Female,0,0,20,United-States,0
48,Private,Some-college,Never-married,Other-service,Black,Female,0,0,40,United-States,0
46,Local-gov,Masters,Divorced,Prof-specialty,White,Female,0,0,43,United-States,0
23,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,0,0,30,United-States,0
39,Private,Masters,Never-married,Prof-specialty,White,Male,0,0,60,United-States,0
27,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,5013,0,46,Canada,0
31,Self-emp-inc,HS-grad,Never-married,Craft-repair,White,Male,0,0,44,United-States,0
22,?,7th-8th,Never-married,?,White,Male,0,0,40,United-States,0
49,?,Some-college,Widowed,?,White,Female,0,0,28,United-States,0
34,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1
32,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,50,United-States,1
61,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,White,Male,0,0,50,United-States,1
43,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,7298,0,40,United-States,1
56,Self-emp-not-inc,Masters,Never-married,Sales,White,Male,0,0,16,United-States,0
55,Federal-gov,Some-college,Never-married,Adm-clerical,White,Male,0,0,40,United-States,0
26,Private,Bachelors,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0
50,Private,Some-college,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,0,0,50,United-States,1
23,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0
22,?,Some-college,Never-married,?,White,Male,0,0,30,United-States,0
47,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,0
24,Private,HS-grad,Never-married,Prof-specialty,White,Female,0,0,45,United-States,0
20,Private,HS-grad,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,0
19,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0
22,Private,12th,Never-married,Transport-moving,White,Male,0,0,40,United-States,0
60,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,5013,0,40,United-States,0
47,Private,Some-college,Divorced,Exec-managerial,White,Female,0,0,40,United-States,0
82,Self-emp-inc,Some-college,Widowed,Sales,White,Male,0,0,20,United-States,0
44,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,48,United-States,0
51,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,1672,70,United-States,0
33,Private,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,0,0,45,Mexico,0
55,Private,11th,Divorced,Sales,White,Female,0,0,20,United-States,0
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,0,0,60,South,0
33,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,United-States,0
31,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
48,Private,HS-grad,Divorced,Transport-moving,White,Male,0,0,44,United-States,0
25,Private,10th,Married-civ-spouse,Transport-moving,White,Male,0,0,40,United-States,0
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,0,1902,80,United-States,1
56,Private,10th,Divorced,Craft-repair,White,Male,0,0,56,United-States,0
23,Federal-gov,Assoc-voc,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,25,United-States,0
32,Self-emp-inc,Doctorate,Never-married,Prof-specialty,White,Male,0,0,77,United-States,0
27,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,30,United-States,0
36,Private,HS-grad,Never-married,Transport-moving,White,Male,0,0,50,United-States,0
26,Private,HS-grad,Never-married,Other-service,Black,Female,0,0,40,United-States,0
45,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,1
27,Private,5th-6th,Never-married,Farming-fishing,White,Male,0,0,48,Guatemala,0
39,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,0,0,45,United-States,0
26,Private,HS-grad,Never-married,Farming-fishing,White,Male,0,0,40,United-States,0
31,Private,Some-college,Separated,Handlers-cleaners,White,Male,0,0,40,United-States,0
27,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0
30,Self-emp-not-inc,Bachelors,Married-spouse-absent,Craft-repair,White,Male,6849,0,60,United-States,0
40,Private,Masters,Divorced,Prof-specialty,White,Male,0,0,43,United-States,0
21,Private,Some-college,Never-married,Other-service,White,Male,0,0,35,United-States,0
39,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
32,Private,HS-grad,Separated,Handlers-cleaners,White,Female,0,0,40,United-States,0
25,Local-gov,Bachelors,Never-married,Prof-specialty,White,Male,0,0,40,United-States,0
37,Private,Bachelors,Never-married,Exec-managerial,White,Male,0,2824,40,United-States,1
53,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,United-States,0
28,Private,Some-college,Never-married,Other-service,Black,Male,0,0,40,United-States,0
28,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,0
28,?,HS-grad,Married-civ-spouse,?,White,Male,0,0,16,United-States,0
29,Private,Masters,Never-married,Exec-managerial,Black,Male,0,0,60,United-States,0
29,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,1887,55,United-States,1
49,Private,Some-college,Widowed,Sales,White,Female,0,0,30,United-States,0
59,Private,HS-grad,Widowed,Adm-clerical,White,Female,0,0,40,United-States,0
20,Private,9th,Never-married,Transport-moving,White,Male,0,0,50,United-States,0
61,Federal-gov,HS-grad,Never-married,Adm-clerical,White,Female,0,0,35,Puerto-Rico,0
30,Private,Some-college,Never-married,Sales,White,Male,0,0,45,United-States,1
23,Private,Some-college,Never-married,Adm-clerical,White,Female,0,0,15,United-States,0
36,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,0,0,40,United-States,0
53,Private,HS-grad,Widowed,Other-service,Black,Female,0,0,20,United-States,0
19,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,0,0,50,United-States,0
56,Private,9th,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,0
22,Private,10th,Never-married,Transport-moving,Asian-Pac-Islander,Male,0,0,30,United-States,0
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1
32,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1
51,Private,Assoc-acdm,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0
63,Private,Some-college,Married-civ-spouse,Sales,White,Male,7298,0,48,United-States,1
38,Private,Bachelors,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,1
31,State-gov,HS-grad,Divorced,Protective-serv,Other,Male,0,0,40,United-States,0
43,Private,Masters,Divorced,Exec-managerial,White,Female,0,2547,40,United-States,1
42,Self-emp-not-inc,10th,Widowed,Transport-moving,White,Male,0,0,35,United-States,0
42,Private,10th,Married-civ-spouse,Craft-repair,Other,Male,0,0,43,United-States,1
56,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1
44,Private,HS-grad,Divorced,Sales,White,Male,3674,0,50,United-States,0
28,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,5178,0,40,United-States,1
20,Private,Some-college,Never-married,Machine-op-inspct,White,Female,2176,0,40,United-States,0
43,Private,Some-college,Married-civ-spouse,Prof-specialty,Other,Female,0,0,6,Puerto-Rico,0
69,?,HS-grad,Widowed,?,White,Female,0,0,9,United-States,0
31,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
27,Private,5th-6th,Never-married,Other-service,White,Male,0,0,60,El-Salvador,0
63,Private,Assoc-voc,Widowed,Adm-clerical,White,Female,0,0,8,United-States,0
23,State-gov,Bachelors,Never-married,Adm-clerical,White,Male,0,0,40,United-States,0
22,Private,Assoc-acdm,Never-married,Handlers-cleaners,Black,Male,0,0,20,Jamaica,0
22,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,0,0,50,United-States,0
53,?,Masters,Never-married,?,White,Female,8614,0,35,United-States,1
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,0
49,Self-emp-not-inc,HS-grad,Divorced,Other-service,White,Female,0,0,40,United-States,0
18,Private,HS-grad,Never-married,Sales,White,Female,0,0,15,United-States,0
46,Private,Some-college,Divorced,Sales,White,Female,0,0,40,Cuba,0
22,Private,HS-grad,Separated,Adm-clerical,White,Female,0,0,40,United-States,0
45,State-gov,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,0
34,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0
67,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1
30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,1
60,Private,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,2042,34,United-States,0
22,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,0
18,State-gov,HS-grad,Never-married,Sales,Black,Female,0,0,30,United-States,0
31,Private,11th,Separated,Other-service,Black,Female,0,0,42,United-States,0
61,Private,Masters,Widowed,Prof-specialty,White,Female,0,0,40,United-States,1
65,Self-emp-not-inc,Some-college,Widowed,Craft-repair,White,Female,0,0,35,United-States,0
20,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Black,Male,0,0,30,Puerto-Rico,0
33,Private,HS-grad,Never-married,Craft-repair,Asian-Pac-Islander,Male,0,0,40,United-States,0
51,Self-emp-inc,Masters,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,1
39,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,55,United-States,1
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,United-States,1
34,Private,HS-grad,Married-civ-spouse,Other-service,White,Male,0,0,20,United-States,0
22,Private,1st-4th,Never-married,Machine-op-inspct,White,Male,0,0,24,Mexico,0
21,Private,HS-grad,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0
44,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,0,0,80,United-States,0
40,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,15024,0,45,United-States,1
37,Private,HS-grad,Never-married,Other-service,Black,Female,0,0,30,United-States,0
72,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,35,United-States,0
26,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,0
44,Local-gov,Assoc-acdm,Married-civ-spouse,Farming-fishing,White,Male,0,0,30,United-States,0
28,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,50,United-States,0
18,?,11th,Never-married,?,White,Female,0,0,25,United-States,0
74,Private,HS-grad,Married-civ-spouse,Other-service,White,Male,0,0,15,United-States,0
38,Private,Masters,Divorced,Exec-managerial,White,Male,0,0,45,United-States,1
24,State-gov,Masters,Never-married,Adm-clerical,Black,Female,0,0,40,United-States,0
61,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,1848,40,United-States,1
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,1977,45,United-States,1
53,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,1
21,?,Some-college,Never-married,?,White,Female,0,0,3,United-States,0
17,Private,9th,Never-married,Other-service,White,Female,0,0,35,United-States,0
25,Private,Some-college,Never-married,Other-service,White,Male,0,0,25,United-States,0
40,Private,HS-grad,Widowed,Machine-op-inspct,White,Female,0,0,30,United-States,0
31,Private,HS-grad,Married-civ-spouse,Other-service,White,Male,0,0,40,United-States,0
25,Private,9th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,0
38,Private,Bachelors,Never-married,Exec-managerial,White,Female,0,0,70,United-States,0
37,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,1
47,Local-gov,Masters,Divorced,Protective-serv,Black,Male,0,0,50,United-States,1
54,Private,5th-6th,Married-spouse-absent,Other-service,Black,Female,0,0,30,Haiti,0
39,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,0
32,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1
45,Private,HS-grad,Widowed,Sales,White,Female,0,0,45,United-States,0
22,Private,HS-grad,Never-married,Exec-managerial,White,Female,0,0,20,United-States,0
71,Private,Masters,Divorced,Prof-specialty,White,Female,0,0,15,Germany,0
39,State-gov,Some-college,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,0
30,Private,Some-college,Never-married,Craft-repair,White,Male,0,0,40,United-States,1
34,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,Male,0,0,40,United-States,0
36,Private,HS-grad,Divorced,Transport-moving,White,Male,0,0,40,United-States,0
46,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,0,0,40,United-States,1
20,Private,Some-college,Never-married,Adm-clerical,White,Female,0,0,10,United-States,0
38,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Asian-Pac-Islander,Male,0,0,54,United-States,1
33,Private,Bachelors,Never-married,Exec-managerial,Asian-Pac-Islander,Male,0,0,40,?,0
60,Private,Prof-school,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1
28,Private,Some-college,Never-married,Craft-repair,White,Male,0,0,30,United-States,0
34,Private,Some-college,Never-married,Other-service,White,Female,0,0,40,United-States,0
74,Private,10th,Married-civ-spouse,Adm-clerical,White,Male,0,0,20,United-States,0
48,Self-emp-not-inc,Some-college,Divorced,Sales,White,Male,0,0,65,United-States,1
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,0,0,38,United-States,0
34,Private,HS-grad,Divorced,Transport-moving,White,Female,1151,0,48,Germany,0
63,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Male,0,0,49,?,0
26,Private,Assoc-voc,Never-married,Prof-specialty,Other,Female,0,0,60,Jamaica,0
24,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0
38,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1
24,Private,Bachelors,Never-married,Exec-managerial,White,Female,0,0,40,United-States,0
49,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1
48,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,White,Male,7298,0,60,United-States,1
25,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,0
26,Private,Bachelors,Never-married,Exec-managerial,White,Female,0,0,40,United-States,0
44,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,1887,60,United-States,1
38,Private,9th,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,United-States,0
24,Private,Bachelors,Never-married,Sales,White,Female,0,0,40,United-States,0
